,season,name,assists,blocks,defensive_rebounds,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempts,free_throw_percentage,free_throws,games_played,minutes_played,offensive_rebounds,opp_assists,opp_blocks,opp_defensive_rebounds,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_total_rebounds,opp_turnovers,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,personal_fouls,points,rank,steals,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebounds,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,Champion,Probs
773,2002.0,Minnesota Timberwolves,24.304878048780488,5.2073170731707314,31.24390243902439,83.98780487804878,0.461,38.71951219512195,21.390243902439025,0.7979999999999999,17.0609756097561,82.0,241.52439024390245,12.914634146341463,22.621951219512194,4.963414634146342,28.365853658536587,81.14634146341463,0.445,36.1219512195122,23.878048780487806,0.742,17.70731707317073,11.121951219512194,20.4390243902439,95.95121951219512,6.609756097560975,16.109756097560975,0.37200000000000005,6.0,39.48780487804878,13.378048780487806,65.03658536585365,0.46299999999999997,30.121951219512194,21.20731707317073,99.32926829268293,5.0,6.390243902439025,12.768292682926829,0.37799999999999995,4.829268292682927,44.15853658536585,13.378048780487806,71.21951219512195,0.47600000000000003,33.890243902439025,0.0,0.44
774,2020.0,Minnesota Timberwolves,23.828125,5.65625,34.265625,91.640625,0.441,40.40625,25.375,0.753,19.109375,64.0,243.125,10.546875,24.375,5.546875,37.234375,90.40625,0.47700000000000004,43.125,25.203125,0.7829999999999999,19.734375,10.109375,21.609375,117.546875,7.796875,31.875,0.363,11.5625,47.34375,15.5,58.53125,0.539,31.5625,21.40625,113.25,24.0,8.671875,39.6875,0.336,13.328125,44.8125,15.328125,51.953125,0.521,27.078125,0.0,0.33
775,1997.0,Philadelphia 76ers,20.670731707317074,4.804878048780488,28.71951219512195,83.53658536585365,0.43799999999999994,36.6219512195122,29.878048780487806,0.725,21.658536585365855,82.0,241.21951219512195,15.451219512195122,25.195121951219512,6.024390243902439,29.914634146341463,85.91463414634147,0.47,40.41463414634146,26.024390243902438,0.733,19.085365853658537,14.463414634146341,24.48780487804878,106.71951219512195,10.024390243902438,18.646341463414632,0.365,6.804878048780488,44.3780487804878,15.585365853658537,67.26829268292683,0.5,33.609756097560975,21.134146341463413,100.1829268292683,7.0,8.329268292682928,16.536585365853657,0.319,5.280487804878049,44.170731707317074,17.524390243902438,67.0,0.46799999999999997,31.341463414634145,0.0,0.12
776,1992.0,Orlando Magic,21.853658536585368,4.475609756097561,28.402439024390244,86.60975609756098,0.45299999999999996,39.26829268292683,27.658536585365855,0.746,20.646341463414632,82.0,240.3048780487805,14.28048780487805,25.548780487804876,6.512195121951219,29.817073170731707,85.91463414634147,0.486,41.78048780487805,29.71951219512195,0.7509999999999999,22.317073170731707,13.5,23.109756097560975,108.5,9.646341463414634,7.426829268292683,0.353,2.6219512195121952,43.31707317073171,15.5,78.48780487804878,0.499,39.15853658536585,24.109756097560975,101.58536585365853,21.0,7.841463414634147,7.414634146341464,0.324,2.402439024390244,42.68292682926829,16.9390243902439,79.1951219512195,0.466,36.86585365853659,0.0,0.05
777,1990.0,Cleveland Cavaliers,25.682926829268293,6.2439024390243905,29.024390243902438,85.08536585365853,0.461,39.19512195121951,26.841463414634145,0.7440000000000001,19.963414634146343,82.0,242.4390243902439,13.75609756097561,26.0609756097561,4.621951219512195,29.890243902439025,87.01219512195122,0.479,41.68292682926829,23.146341463414632,0.7609999999999999,17.609756097560975,13.829268292682928,23.085365853658537,102.8780487804878,8.292682926829269,6.097560975609756,0.312,1.9024390243902438,43.71951219512195,15.78048780487805,80.91463414634147,0.49200000000000005,39.78048780487805,20.317073170731707,102.57317073170732,21.0,7.865853658536586,10.378048780487806,0.40700000000000003,4.219512195121951,42.78048780487805,15.158536585365853,74.70731707317073,0.46799999999999997,34.97560975609756,0.0,0.27
778,2010.0,Los Angeles Clippers,22.073170731707318,5.682926829268292,30.51219512195122,80.5,0.455,36.609756097560975,22.76829268292683,0.73,16.609756097560975,82.0,240.3048780487805,11.304878048780488,23.48780487804878,4.426829268292683,30.365853658536587,82.82926829268293,0.47,38.9390243902439,23.29268292682927,0.762,17.74390243902439,10.71951219512195,19.365853658536587,102.07317073170732,8.365853658536585,17.76829268292683,0.363,6.451219512195122,41.08536585365854,12.914634146341463,65.0609756097561,0.499,32.48780487804878,19.28048780487805,95.71951219512195,27.0,6.487804878048781,17.76829268292683,0.332,5.890243902439025,41.81707317073171,15.670731707317072,62.73170731707317,0.49,30.71951219512195,0.0,0.22
779,1998.0,Golden State Warriors,20.829268292682926,5.463414634146342,30.158536585365855,83.9390243902439,0.413,34.69512195121951,23.317073170731707,0.71,16.5609756097561,82.0,241.82926829268294,15.707317073170731,24.524390243902438,5.829268292682927,30.914634146341463,82.21951219512195,0.444,36.48780487804878,27.878048780487806,0.7290000000000001,20.329268292682926,13.829268292682928,19.975609756097562,97.3780487804878,9.231707317073171,11.731707317073171,0.34700000000000003,4.073170731707317,44.74390243902439,14.073170731707316,70.48780487804878,0.46,32.41463414634146,22.670731707317074,88.2560975609756,29.0,7.573170731707317,8.487804878048781,0.272,2.3048780487804876,45.86585365853659,16.695121951219512,75.45121951219512,0.429,32.390243902439025,0.0,0.3
780,2019.0,Houston Rockets,21.23170731707317,4.939024390243903,31.865853658536587,87.35365853658537,0.449,39.24390243902439,24.402439024390244,0.7909999999999999,19.29268292682927,82.0,241.82926829268294,10.195121951219512,23.524390243902438,4.5,34.451219512195124,86.65853658536585,0.466,40.40243902439025,23.70731707317073,0.768,18.20731707317073,10.963414634146341,20.0,109.14634146341463,7.402439024390244,29.804878048780488,0.34,10.134146341463415,45.41463414634146,15.024390243902438,56.853658536585364,0.532,30.26829268292683,21.98780487804878,113.91463414634147,11.0,8.536585365853659,45.3780487804878,0.35600000000000004,16.134146341463413,42.0609756097561,13.341463414634147,41.97560975609756,0.551,23.109756097560975,0.0,0.42
781,1984.0,Philadelphia 76ers,24.78048780487805,7.963414634146342,29.048780487804876,83.32926829268293,0.495,41.26829268292683,33.0,0.754,24.890243902439025,82.0,243.35365853658536,14.402439024390244,25.146341463414632,5.890243902439025,27.28048780487805,87.02439024390245,0.48,41.792682926829265,28.865853658536587,0.742,21.426829268292682,15.060975609756097,27.28048780487805,105.58536585365853,9.817073170731707,2.524390243902439,0.22699999999999998,0.573170731707317,42.34146341463415,19.01219512195122,84.5,0.488,41.21951219512195,24.878048780487806,107.78048780487805,16.0,9.841463414634147,1.3048780487804879,0.271,0.35365853658536583,43.451219512195124,19.853658536585368,82.02439024390245,0.499,40.91463414634146,0.0,0.36
782,1989.0,Golden State Warriors,24.5,7.841463414634147,31.23170731707317,97.28048780487805,0.46799999999999997,45.48780487804878,29.073170731707318,0.799,23.21951219512195,82.0,242.7439024390244,16.134146341463413,27.01219512195122,5.914634146341464,32.18292682926829,97.5609756097561,0.462,45.03658536585366,30.5,0.7659999999999999,23.365853658536587,17.524390243902438,23.597560975609756,116.86585365853658,10.5,10.012195121951219,0.342,3.426829268292683,49.707317073170735,18.951219512195124,87.54878048780488,0.475,41.609756097560975,23.73170731707317,116.5609756097561,4.0,10.134146341463415,7.670731707317073,0.308,2.3658536585365852,47.36585365853659,18.146341463414632,89.60975609756098,0.48100000000000004,43.1219512195122,0.0,0.41
